"","anem_obs","lat2","lon2"
"293",360,10.7146641133583,124.754413567808
"294",361,10.8736034034375,124.711133013475
"295",362,10.6338737419667,124.776724783975
"296",363,10.641068218975,124.780627781275
"297",364,10.791563483075,124.766627760838
"298",365,10.6407457110625,124.780236717725
"299",366,10.764535538625,124.78545685765
"300",367,10.641066113,124.782967065688
"301",368,10.76420880905,124.78527010455
"302",369,10.8744107640875,124.7106648737
"303",370,10.79875792976,124.76864884653
"304",371,10.7995012029875,124.7683111299
"305",372,10.8121299964875,124.764248578575
"306",373,10.811665347785,124.764252168125
"307",374,10.8715663338083,124.714154514958
"308",375,10.76848395985,124.783946197713
"309",376,10.7684979425583,124.783990513692
"310",377,10.8728905141083,124.712169634962
"311",379,10.7686173607187,124.783905714637
"312",380,10.8713957568938,124.7141865772
"313",381,10.7690962893,124.78371098055
"314",382,10.86955336115,124.716188294875
"315",383,10.861505608775,124.7213342716
"316",384,10.861006,124.721734
"317",385,10.8685120852812,124.716220001656
"318",386,10.7545041764375,124.784820142069
"319",387,10.869629743975,124.716019558258
"320",388,10.8615613379375,124.7214394645
"321",389,10.6337837465625,124.7768868418
"322",390,10.869173551925,124.716311939975
"323",392,10.871414137975,124.713987183963
"324",393,10.8714242395917,124.713940524975
"325",394,10.8735855925,124.71161454099
"326",395,10.8697486447625,124.715872330138
"327",396,10.8612843998625,124.721610025738
"328",397,10.7436531165,124.7867857036
"329",398,10.86090682655,124.721790865287
"330",399,10.8716405853375,124.713968819725
"331",401,10.634454158125,124.776720631425
"332",402,10.8714533411833,124.714046544358
"333",403,10.76843272545,124.78404736205
"334",405,10.8743717702312,124.710791029281
"335",406,10.7641184812937,124.785252374106
"336",407,10.6337352586,124.776895545075
"337",408,10.8744124369583,124.7107337974
